노선명,size,min,max,mean
501,845,0.0,14.66680866654553,5.672023044538589
5012,1204,0.0,17.211078223375562,4.830439649178693
502,427,0.0,12.979223112642893,4.1946299814419055
503,672,0.0,15.311022158607777,5.646520118744762
504,1048,0.0,18.035432081371084,5.860651681304441
505,718,0.0,17.853219328027937,6.766826002138934
506,1557,0.0,16.573819216787026,4.844376574276373
507,1661,0.0,21.593613405953672,6.056409956006643
540,144,0.0,5.9096049988549355,2.384957776402813
541,198,0.0,5.555391080697582,2.819693261182493
5413,1605,0.0,15.486286332409916,6.147982768052623
542,220,0.0,8.045698778632492,3.162425007070868
5511,612,0.0,8.362757487566302,2.6312141193304104
5513,307,0.0,6.013430824546778,2.2160293362993984
5515,216,0.0,4.534524328481925,1.803551482798569
5516,770,0.0,8.947077922246226,2.849171897613775
5517,921,0.0,9.207107148554774,2.7778005287953
5519,189,0.0,4.083133880302522,1.5359675159821975
5522A난곡,642,0.0,4.268381034254167,1.8614371361443407
5522B호암,493,0.0,4.039490009499458,1.8584083783359573
5523,364,0.0,5.010065041784664,2.18491485343935
5524,1315,0.0,10.891232294305686,3.2844269930462633
5525,391,0.0,5.9395189271908775,2.5547854698076593
5528,853,0.0,14.75569542216717,3.849030854812617
5530,711,0.0,30.95924728580834,5.3777836981428875
5531,504,0.0,30.95924728580834,5.169843705437941
5535,721,0.0,10.629414361263967,3.031453477480258
5536,401,0.0,10.606821036524824,3.367216928458787
5537,191,0.0,5.617909674244911,2.6275695050120307
5615,959,0.0,8.936520209268192,3.9974452999129184
5616,1397,0.0,13.585340493974222,3.6288767547877763
5617,99,0.0,4.724532564350681,1.9236419159805265
5618,813,0.0,12.456750893014979,3.2765662438057017
5619,714,0.0,8.027160591160216,2.92789909177812
5620,1019,0.0,11.981761418267633,4.042541986175005
5621,94,0.0,3.02093087330334,1.236099769305679
5623,513,0.0,30.95924728580834,5.30500032161767
5625,472,0.0,35.2804518508309,4.464012993928244
5626,864,0.0,32.784489582019646,4.851502588170611
5627,118,0.0,4.127977614756987,1.4892244195622966
5630,568,0.0,9.834980421552352,3.4727579315621484
5633,771,0.0,11.161854820368951,3.9047600028227274
5634,403,0.0,9.451436435442977,3.127743748080838
571,1884,0.0,21.986554054349547,6.199281924330677
5712,1430,0.0,12.179015383832297,4.6706839237242335
5713,755,0.0,35.2804518508309,5.674566886339137
5714,945,0.0,12.963031818893066,4.458156901406786
600,1018,0.0,23.131363895775493,6.9252955944492935
601,1279,0.0,27.218683725640265,10.013875798099484
